Number,State,Value,Param dt_criterion,Param dt_max_depth,Param dt_max_features,Param dt_min_samples_leaf,Param dt_min_samples_split,Param dt_splitter,Param encoder_type,Param model,Param rf_bootstrap,Param rf_max_depth,Param rf_max_features,Param rf_min_samples_leaf,Param rf_min_samples_split,Param rf_n_estimators,Param xgb_colsample_bytree,Param xgb_gamma,Param xgb_learning_rate,Param xgb_max_depth,Param xgb_min_child_weight,Param xgb_n_estimators,Param xgb_reg_alpha,Param xgb_reg_lambda,Param xgb_subsample
81,COMPLETE,0.9254660330527135,,,,,,,Target,RandomForest,False,17,sqrt,1,5,700,,,,,,,,,
82,COMPLETE,0.9202941483668594,,,,,,,Target,RandomForest,False,12,sqrt,1,4,700,,,,,,,,,
83,COMPLETE,0.92801831468031,,,,,,,Target,RandomForest,False,20,sqrt,1,5,750,,,,,,,,,
84,COMPLETE,0.9281808461464519,,,,,,,Target,RandomForest,False,19,sqrt,1,5,800,,,,,,,,,
85,COMPLETE,0.9269806368597687,,,,,,,Target,RandomForest,False,21,sqrt,1,5,800,,,,,,,,,
86,COMPLETE,0.9237001453682808,,,,,,,Freq,RandomForest,False,20,sqrt,1,4,750,,,,,,,,,
87,COMPLETE,0.9236945854429889,,,,,,,Target,RandomForest,False,14,sqrt,1,6,750,,,,,,,,,
88,COMPLETE,0.76902448715598,squared_error,15,sqrt,2,4,random,Target,DecisionTree,,,,,,,,,,,,,,,
89,COMPLETE,0.920200037462401,,,,,,,Count,RandomForest,False,17,sqrt,1,5,650,,,,,,,,,
90,COMPLETE,0.8939277416269893,,,,,,,Target,RandomForest,False,19,,1,6,800,,,,,,,,,
91,FAIL,,,,,,,,Target,RandomForest,False,24,sqrt,1,3,700,,,,,,,,,
